 INFO  Accepting connections at http://localhost:3000
 HTTP  22/09/2026 21:34:10 ::1 GET /viewer
 HTTP  22/09/2026 21:34:10 ::1 Returned 200 in 18 ms
 HTTP  22/09/2026 21:34:10 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 21:34:10 ::1 Returned 304 in 4 ms
 HTTP  22/09/2026 21:34:18 ::1 GET /favorites
 HTTP  22/09/2026 21:34:18 ::1 Returned 200 in 2 ms
 HTTP  22/09/2026 21:34:18 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 21:34:18 ::1 Returned 304 in 1 ms
 HTTP  22/09/2026 21:34:22 ::1 GET /viewer
 HTTP  22/09/2026 21:34:22 ::1 Returned 304 in 1 ms
 HTTP  22/09/2026 21:34:22 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 21:34:22 ::1 Returned 304 in 1 ms
 HTTP  22/09/2026 21:34:33 ::1 GET /favorites
 HTTP  22/09/2026 21:34:33 ::1 Returned 304 in 1 ms
 HTTP  22/09/2026 21:34:33 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 21:34:33 ::1 Returned 304 in 2 ms
 HTTP  22/09/2026 21:34:33 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 21:34:33 ::1 Returned 304 in 1 ms
 HTTP  22/09/2026 21:34:46 ::1 GET /Markets/Components/2.%20Claude%20Opus%205%20Medium
 HTTP  22/09/2026 21:34:46 ::1 Returned 304 in 3 ms
 HTTP  22/09/2026 21:34:58 ::1 GET /Portfolio/Components/1.%20Claude%20Opus%205%20Medium
 HTTP  22/09/2026 21:34:58 ::1 Returned 304 in 3 ms
 HTTP  22/09/2026 21:35:02 ::1 GET /Research/Components/1.%20Claude%20Fable%205.1%20Low
 HTTP  22/09/2026 21:35:02 ::1 Returned 304 in 4 ms
 HTTP  22/09/2026 21:35:07 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 21:35:07 ::1 Returned 304 in 1 ms
 HTTP  22/09/2026 21:35:13 ::1 GET /favorites
