 INFO  Accepting connections at http://localhost:3000
 HTTP  22/09/2026 18:49:28 ::1 GET /viewer.html
 HTTP  22/09/2026 18:49:28 ::1 Returned 301 in 55 ms
 HTTP  22/09/2026 18:49:28 ::1 GET /viewer
 HTTP  22/09/2026 18:49:28 ::1 Returned 200 in 8 ms
 HTTP  22/09/2026 18:49:28 ::1 GET /UI-Design-16/Five-Briefing-Concepts-Filled-In.html
 HTTP  22/09/2026 18:49:28 ::1 Returned 301 in 1 ms
 HTTP  22/09/2026 18:49:28 ::1 GET /UI-Design-16/Five-Briefing-Concepts-Filled-In
 HTTP  22/09/2026 18:49:28 ::1 Returned 200 in 3 ms
 HTTP  22/09/2026 18:49:29 ::1 GET /favicon.ico
 HTTP  22/09/2026 18:49:29 ::1 Returned 404 in 1 ms
 HTTP  22/09/2026 18:49:42 ::1 GET /UI-Design-1/dist/
 HTTP  22/09/2026 18:49:42 ::1 Returned 304 in 5 ms
